BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,71707.0,38.0,16.0,2.0,82.86,2.71,14.0,6.0
Residential,58189.0,30.0,11.0,2.25,89.0,2.73,11.0,4.0
Residential,24829.0,30.0,11.0,1.0,89.0,2.73,11.0,4.0
Residential,53704.0,66.0,22.0,2.0,93.0,3.47,19.0,11.0
Residential,67575.0,36.0,14.0,2.0,92.8,3.27,11.0,4.0
Residential,15983.0,36.0,14.0,1.0,86.5,3.27,11.0,4.0
Residential,99803.0,33.0,16.0,2.0,88.33,3.0,11.0,4.0
Residential,76788.0,88.0,29.0,2.17,86.17,3.38,26.0,11.0
Residential,84095.0,88.0,29.0,1.14,88.86,3.38,26.0,11.0
Residential,78599.0,106.0,32.0,2.17,85.83,3.42,31.0,12.0
Residential,142831.0,106.0,32.0,1.24,85.47,3.42,31.0,12.0
Commercial,19043.0,152.0,46.0,1.5,51.0,3.53,43.0,21.0
Residential,154839.0,152.0,46.0,2.0,71.17,3.53,43.0,21.0
Residential,71175.0,152.0,46.0,1.5,81.25,3.53,43.0,21.0
Commercial,13252.0,140.0,49.0,1.5,69.0,3.11,45.0,24.0
Residential,204352.0,140.0,49.0,2.0,84.81,3.11,45.0,24.0
Residential,49842.0,140.0,49.0,1.4,57.4,3.11,45.0,24.0
Residential,23843.0,45.0,15.0,2.0,63.5,3.0,15.0,9.0
Residential,61014.0,122.0,36.0,2.0,88.0,3.49,35.0,16.0
Residential,140173.0,122.0,36.0,1.33,85.08,3.49,35.0,16.0
Residential,20922.0,51.0,18.0,2.0,94.5,2.83,18.0,4.0
Residential,92449.0,51.0,18.0,1.09,87.36,2.83,18.0,4.0
Residential,38857.0,35.0,11.0,2.0,86.0,3.89,9.0,8.0
Residential,88122.0,35.0,9.0,1.0,89.13,3.89,9.0,1.0
Residential,63444.0,101.0,36.0,2.14,86.0,2.81,36.0,11.0
Residential,119944.0,101.0,36.0,1.36,88.57,2.81,36.0,11.0
Residential,38387.0,16.0,6.0,2.0,86.0,2.67,6.0,1.0
Residential,22524.0,16.0,6.0,1.33,63.33,2.67,6.0,1.0
Residential,19639.0,90.0,34.0,2.0,96.67,2.65,34.0,8.0
Residential,132883.0,90.0,34.0,1.12,75.35,2.65,34.0,8.0
Residential,96335.0,96.0,41.0,1.91,77.91,2.59,37.0,17.0
