BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,45603.0,79.0,26.0,2.2,110.8,3.16,25.0,17.0
Residential,68323.0,79.0,26.0,2.0,114.43,3.16,25.0,17.0
Residential,53316.0,60.0,24.0,2.0,108.25,2.73,22.0,7.0
Residential,52949.0,60.0,24.0,1.86,121.71,2.73,22.0,7.0
Residential,151548.0,57.0,22.0,2.0,98.75,2.59,22.0,13.0
Residential,46591.0,52.0,30.0,3.0,106.0,2.6,20.0,10.0
Residential,28733.0,52.0,30.0,2.5,79.75,2.6,20.0,10.0
Residential,43480.0,52.0,30.0,2.0,110.5,2.6,20.0,10.0
Residential,70160.0,61.0,26.0,2.0,89.17,2.77,22.0,9.0
Residential,65415.0,61.0,26.0,2.17,116.83,2.77,22.0,9.0
Residential,146762.0,111.0,86.0,2.18,88.91,1.42,78.0,68.0
Residential,14948.0,111.0,86.0,2.0,101.0,1.42,78.0,68.0
Residential,82423.0,70.0,29.0,2.0,93.17,2.5,28.0,15.0
Residential,121619.0,70.0,29.0,2.0,110.0,2.5,28.0,15.0
Residential,103907.0,106.0,36.0,2.22,110.33,3.21,33.0,19.0
Residential,50850.0,106.0,36.0,1.8,91.0,3.21,33.0,19.0
Residential,105483.0,54.0,18.0,2.1,111.2,3.38,16.0,3.0
Residential,34741.0,28.0,9.0,2.25,91.0,3.11,9.0,0.0
Residential,39582.0,28.0,9.0,2.0,112.25,3.11,9.0,0.0
Residential,81340.0,60.0,15.0,2.38,94.63,4.0,15.0,4.0
Residential,35160.0,60.0,15.0,2.0,73.33,4.0,15.0,4.0
Residential,27550.0,16.0,5.0,2.5,78.5,3.2,5.0,1.0
Commercial,134584.0,75.0,58.0,2.0,32.0,1.92,39.0,37.0
Commercial,281238.0,189.0,88.0,4.5,65.0,2.36,80.0,66.0
Residential,14529.0,189.0,88.0,2.0,114.5,2.36,80.0,66.0
Residential,104969.0,189.0,88.0,2.0,12.0,2.36,80.0,66.0
Commercial,33816.0,78.0,34.0,1.5,50.5,2.44,32.0,22.0
Residential,64233.0,7.0,3.0,1.33,103.78,2.33,3.0,2.0
Residential,104965.0,78.0,34.0,2.11,103.22,2.44,32.0,22.0
Residential,99975.0,78.0,35.0,2.11,89.33,3.0,26.0,15.0
Residential,48970.0,78.0,35.0,1.43,90.29,3.0,26.0,15.0
Residential,44636.0,61.0,22.0,2.0,95.67,3.59,17.0,7.0
Residential,64241.0,61.0,22.0,1.89,99.89,3.59,17.0,7.0
Residential,19672.0,97.0,25.0,2.0,108.5,4.22,23.0,8.0
Residential,77423.0,97.0,25.0,1.7,94.9,4.22,23.0,8.0
Residential,107393.0,109.0,35.0,1.82,76.18,3.63,30.0,21.0
Residential,33430.0,33.0,9.0,2.2,103.8,4.13,8.0,6.0
Residential,108861.0,109.0,35.0,1.56,93.56,3.63,30.0,21.0
Commercial,13491.0,58.0,30.0,1.33,35.33,3.41,17.0,13.0
Residential,19030.0,58.0,30.0,2.0,114.75,3.41,17.0,13.0
Residential,48148.0,58.0,30.0,2.0,84.86,3.41,17.0,13.0
Residential,73480.0,60.0,18.0,2.0,92.33,3.33,18.0,12.0
Residential,77670.0,62.0,28.0,2.0,116.5,3.26,19.0,7.0
Residential,29020.0,62.0,28.0,2.0,93.0,3.26,19.0,7.0
Residential,81426.0,101.0,30.0,2.25,113.5,3.88,26.0,15.0
Residential,49346.0,101.0,30.0,1.89,112.44,3.88,26.0,15.0
Residential,105931.0,100.0,30.0,1.78,87.22,4.55,22.0,12.0
Residential,77116.0,100.0,30.0,2.0,114.0,4.55,22.0,12.0
Residential,14205.0,73.0,21.0,2.0,101.0,4.56,16.0,8.0
Residential,85809.0,73.0,21.0,1.8,112.9,4.56,16.0,8.0
Residential,68720.0,64.0,28.0,1.67,75.67,3.56,18.0,11.0
Residential,70588.0,64.0,28.0,1.75,93.5,3.56,18.0,11.0
Residential,88966.0,91.0,30.0,1.86,96.57,3.37,27.0,18.0
Residential,23836.0,91.0,30.0,2.0,118.5,3.37,27.0,18.0
Residential,94830.0,46.0,20.0,1.86,98.71,2.88,16.0,7.0
Residential,36774.0,49.0,15.0,2.5,116.0,4.9,10.0,5.0
Residential,31855.0,49.0,15.0,2.0,113.5,4.9,10.0,5.0
Residential,36174.0,47.0,9.0,1.67,71.67,5.22,9.0,4.0
Residential,32249.0,47.0,9.0,1.67,90.67,5.22,9.0,4.0
Residential,62560.0,75.0,25.0,1.67,74.0,4.41,17.0,8.0
Residential,50856.0,75.0,25.0,1.5,72.5,4.41,17.0,8.0
Residential,54650.0,92.0,38.0,2.25,119.5,3.29,28.0,20.0
Residential,26327.0,92.0,27.0,2.0,119.33,4.0,23.0,14.0
Residential,37505.0,92.0,27.0,1.8,118.6,4.0,23.0,14.0
Residential,8575.0,26.0,9.0,1.0,30.5,3.71,7.0,4.0
Residential,55859.0,64.0,17.0,2.25,112.25,4.27,15.0,8.0
Residential,104639.0,64.0,17.0,1.86,109.57,4.27,15.0,8.0
Residential,25270.0,67.0,19.0,2.5,108.5,3.94,17.0,10.0
Commercial,34100.0,97.0,41.0,2.5,100.0,3.34,29.0,24.0
Residential,29463.0,21.0,5.0,2.0,74.0,4.2,5.0,1.0
Residential,30229.0,57.0,14.0,2.0,114.25,4.38,13.0,7.0
Residential,30570.0,57.0,14.0,1.5,53.5,4.38,13.0,7.0
Residential,46450.0,27.0,10.0,2.0,103.25,3.0,9.0,3.0
Residential,54363.0,27.0,10.0,2.0,107.33,3.0,9.0,3.0
Residential,25982.0,48.0,12.0,2.0,41.0,4.36,11.0,11.0
Residential,13113.0,15.0,7.0,2.0,116.0,3.0,5.0,5.0
Residential,28996.0,69.0,21.0,1.8,93.4,3.83,18.0,17.0
Residential,56387.0,67.0,22.0,2.0,104.75,3.35,20.0,9.0
Residential,102520.0,67.0,22.0,2.11,116.56,3.35,20.0,9.0
Residential,11416.0,7.0,3.0,1.5,55.5,2.33,3.0,0.0
Residential,30996.0,67.0,22.0,1.25,65.25,3.19,21.0,13.0
Residential,23007.0,35.0,9.0,2.0,108.5,3.89,9.0,4.0
Residential,35680.0,35.0,9.0,1.5,77.0,3.89,9.0,4.0
Residential,71581.0,30.0,9.0,1.2,65.3,3.33,9.0,2.0
Residential,57693.0,15.0,5.0,1.2,51.8,3.0,5.0,1.0
Residential,65635.0,155.0,50.0,1.83,99.83,3.69,42.0,32.0
Residential,120519.0,155.0,50.0,1.69,91.38,3.69,42.0,32.0
Residential,68002.0,142.0,33.0,2.0,102.2,4.3,33.0,21.0
Residential,79631.0,142.0,33.0,2.13,112.88,4.3,33.0,21.0
Residential,66798.0,93.0,32.0,1.8,86.0,3.1,30.0,24.0
Residential,43465.0,93.0,32.0,2.0,115.0,3.1,30.0,24.0
Residential,58406.0,58.0,30.0,1.67,65.0,3.05,19.0,14.0
Residential,101718.0,58.0,30.0,2.14,119.14,3.05,19.0,14.0
Commercial,59553.0,87.0,29.0,1.67,91.0,3.48,25.0,19.0
Residential,73980.0,87.0,29.0,2.13,109.88,3.48,25.0,19.0
Commercial,182765.0,327.0,174.0,3.0,82.67,2.3,142.0,135.0
Residential,39320.0,327.0,174.0,2.0,114.33,2.3,142.0,135.0
Residential,38775.0,60.0,22.0,1.8,104.6,3.53,17.0,11.0
Residential,95289.0,101.0,38.0,2.0,93.91,3.26,31.0,20.0
Residential,23618.0,101.0,38.0,1.75,86.5,3.26,31.0,20.0
Residential,81459.0,91.0,33.0,1.86,80.57,3.5,26.0,20.0
Residential,22279.0,91.0,33.0,2.0,97.75,3.5,26.0,20.0
Residential,11665.0,46.0,15.0,2.33,112.67,3.29,14.0,3.0
Residential,97432.0,46.0,15.0,1.85,111.69,3.29,14.0,3.0
Residential,22525.0,71.0,18.0,2.0,121.0,4.18,17.0,6.0
Residential,99368.0,71.0,18.0,2.11,119.11,4.18,17.0,6.0
Residential,84099.0,68.0,17.0,2.13,106.5,4.25,16.0,4.0
Residential,36467.0,68.0,17.0,2.33,122.0,4.25,16.0,4.0
Residential,79894.0,92.0,38.0,2.29,115.0,3.29,28.0,20.0
Residential,24546.0,97.0,41.0,3.0,99.0,3.34,29.0,24.0
Residential,99575.0,97.0,41.0,2.83,114.0,3.34,29.0,24.0
Commercial,15725.0,425.0,56.0,2.5,101.5,2.92,51.0,36.0
Residential,169830.0,425.0,56.0,1.0,0.0,2.92,51.0,36.0
Residential,82625.0,190.0,77.0,2.11,116.56,2.28,64.0,51.0
Commercial,202535.0,194.0,74.0,2.75,75.25,3.29,59.0,57.0
Residential,49527.0,35.0,15.0,2.0,134.33,2.33,15.0,7.0
Residential,34215.0,35.0,15.0,1.25,71.0,2.33,15.0,7.0
Residential,37324.0,41.0,16.0,2.0,89.0,3.42,12.0,3.0
Residential,24587.0,41.0,16.0,1.67,96.33,3.42,12.0,3.0
Residential,80607.0,39.0,26.0,1.88,88.38,2.05,19.0,12.0
Residential,270597.0,193.0,115.0,3.25,70.0,2.01,96.0,66.0
Residential,131174.0,193.0,115.0,2.0,95.11,2.01,96.0,66.0
Residential,43457.0,193.0,115.0,2.0,80.75,2.01,96.0,66.0
Residential,78545.0,33.0,10.0,2.13,101.0,4.13,8.0,2.0
Residential,99872.0,25.0,7.0,1.0,0.0,4.17,6.0,6.0
Residential,37634.0,25.0,20.0,2.0,106.0,1.92,13.0,11.0
Residential,44038.0,53.0,17.0,2.0,122.67,3.53,15.0,8.0
Residential,39378.0,53.0,17.0,2.0,125.0,3.53,15.0,8.0
Residential,8728.0,5.0,10.0,2.0,96.0,1.67,3.0,1.0
Commercial,66201.0,92.0,21.0,1.0,0.0,5.41,17.0,11.0
Residential,44586.0,92.0,21.0,1.71,113.43,5.41,17.0,11.0
Residential,66442.0,74.0,37.0,2.25,104.75,3.08,24.0,12.0
Residential,119614.0,74.0,37.0,1.88,115.81,3.08,24.0,12.0
Residential,56064.0,69.0,25.0,2.0,96.0,3.29,21.0,9.0
Residential,105664.0,69.0,25.0,1.18,81.45,3.29,21.0,9.0
Residential,179267.0,109.0,46.0,1.95,90.63,3.21,34.0,24.0
Residential,33764.0,83.0,33.0,2.0,82.0,3.19,26.0,15.0
Residential,101563.0,83.0,33.0,1.79,114.14,3.19,26.0,15.0
Residential,9531.0,56.0,21.0,1.5,58.0,3.73,15.0,7.0
Residential,48329.0,56.0,21.0,2.0,90.9,3.73,15.0,7.0
Residential,93455.0,88.0,30.0,2.0,106.63,2.83,24.0,15.0
Residential,24809.0,88.0,30.0,1.67,106.83,2.83,24.0,15.0
Residential,160640.0,117.0,43.0,1.93,87.53,3.16,37.0,29.0
Residential,28831.0,117.0,43.0,1.33,64.67,3.16,37.0,29.0
Residential,87055.0,65.0,32.0,1.91,92.82,2.83,23.0,15.0
Residential,71807.0,73.0,24.0,1.56,107.33,3.84,19.0,8.0
Residential,22794.0,65.0,32.0,2.0,104.25,2.83,23.0,15.0
Residential,115084.0,117.0,36.0,2.0,100.17,3.66,32.0,22.0
Residential,34361.0,117.0,36.0,2.0,103.67,3.66,32.0,22.0
Residential,120079.0,149.0,62.0,2.08,85.92,3.1,48.0,38.0
Residential,84610.0,149.0,62.0,2.0,103.0,3.1,48.0,38.0
Residential,109198.0,90.0,33.0,2.11,87.33,3.33,27.0,21.0
Residential,54098.0,90.0,33.0,1.83,108.5,3.33,27.0,21.0
Residential,124757.0,89.0,38.0,1.92,95.0,3.07,29.0,19.0
Residential,24111.0,89.0,38.0,1.4,103.0,3.07,29.0,19.0
Commercial,30022.0,94.0,29.0,1.67,73.33,3.62,26.0,11.0
Residential,21367.0,94.0,29.0,2.0,112.0,3.62,26.0,11.0
Residential,149875.0,94.0,29.0,1.86,100.5,3.62,26.0,11.0
Residential,94613.0,80.0,31.0,2.0,106.1,3.64,22.0,13.0
Residential,38740.0,80.0,31.0,2.0,110.33,3.64,22.0,13.0
Residential,62128.0,84.0,29.0,1.71,93.86,3.23,26.0,14.0
Residential,106155.0,84.0,29.0,1.45,111.09,3.23,26.0,14.0
Residential,88885.0,83.0,34.0,2.1,102.1,2.86,29.0,15.0
Residential,59373.0,83.0,34.0,1.5,63.13,2.86,29.0,15.0
Residential,117613.0,87.0,35.0,2.08,95.67,3.0,29.0,12.0
Residential,66840.0,61.0,21.0,1.14,102.43,3.81,16.0,9.0
Residential,18647.0,87.0,35.0,2.0,104.0,3.0,29.0,12.0
Residential,132636.0,77.0,55.0,2.31,85.69,2.75,28.0,15.0
Residential,27286.0,77.0,55.0,2.0,111.75,2.75,28.0,15.0
Residential,85397.0,104.0,44.0,2.0,84.0,3.06,34.0,25.0
Residential,28439.0,104.0,44.0,2.0,100.0,3.06,34.0,25.0
Residential,20818.0,74.0,20.0,1.33,33.67,4.11,18.0,10.0
Residential,75776.0,74.0,20.0,1.91,104.91,4.11,18.0,10.0
Residential,44356.0,52.0,22.0,2.0,108.5,2.89,18.0,11.0
Residential,26430.0,52.0,22.0,1.8,104.6,2.89,18.0,11.0
Residential,84203.0,63.0,27.0,1.86,84.71,3.5,18.0,10.0
Residential,49089.0,63.0,27.0,1.67,99.67,3.5,18.0,10.0
Residential,32183.0,97.0,31.0,2.0,105.0,3.59,27.0,17.0
Residential,16124.0,97.0,31.0,1.5,89.0,3.59,27.0,17.0
Residential,64653.0,73.0,24.0,2.0,118.5,3.84,19.0,8.0
Residential,64599.0,101.0,35.0,1.71,95.43,3.37,30.0,14.0
Residential,76210.0,78.0,25.0,2.0,98.38,3.9,20.0,10.0
Residential,22409.0,78.0,25.0,1.25,72.75,3.9,20.0,10.0
Residential,65215.0,42.0,24.0,2.0,106.17,2.47,17.0,9.0
Residential,44064.0,42.0,24.0,1.2,75.0,2.47,17.0,9.0
Residential,28082.0,28.0,11.0,1.5,104.0,4.0,7.0,4.0
Residential,11376.0,46.0,26.0,1.75,80.75,3.54,13.0,7.0
Residential,49114.0,46.0,26.0,1.4,113.0,3.54,13.0,7.0
Residential,7212.0,56.0,14.0,2.0,111.0,4.0,14.0,6.0
Residential,57772.0,56.0,14.0,1.38,76.5,4.0,14.0,6.0
Residential,49524.0,117.0,33.0,2.17,101.83,3.55,33.0,22.0
Residential,69074.0,117.0,33.0,2.0,99.0,3.55,33.0,22.0
Residential,101417.0,69.0,34.0,1.6,65.4,2.3,30.0,21.0
Residential,25891.0,69.0,34.0,2.0,106.67,2.3,30.0,21.0
Commercial,525673.0,40.0,21.0,1.0,40.25,2.5,16.0,4.0
Residential,73416.0,40.0,21.0,2.0,107.5,2.5,16.0,4.0
Residential,80085.0,40.0,21.0,2.0,99.9,2.5,16.0,4.0
Residential,31332.0,47.0,20.0,2.0,111.0,2.61,18.0,13.0
Residential,49881.0,47.0,20.0,1.75,101.5,2.61,18.0,13.0
Residential,153550.0,87.0,34.0,1.92,87.25,3.0,29.0,13.0
Residential,23896.0,87.0,34.0,2.0,109.0,3.0,29.0,13.0
Residential,27424.0,56.0,19.0,2.5,100.0,4.0,14.0,4.0
Residential,86668.0,56.0,19.0,1.78,99.0,4.0,14.0,4.0
Residential,135142.0,91.0,23.0,1.85,97.46,4.79,19.0,4.0
Residential,92224.0,101.0,35.0,2.1,82.2,3.37,30.0,14.0
Commercial,18864.0,106.0,47.0,2.5,100.0,3.31,32.0,18.0
Residential,209295.0,106.0,47.0,2.14,98.36,3.31,32.0,18.0
Residential,35155.0,106.0,47.0,2.0,103.5,3.31,32.0,18.0
Residential,119576.0,103.0,40.0,2.0,99.18,2.94,35.0,19.0
Residential,79268.0,103.0,40.0,2.0,92.33,2.94,35.0,19.0
Residential,34110.0,69.0,28.0,2.2,95.0,2.88,24.0,11.0
Residential,83880.0,69.0,28.0,2.0,107.54,2.88,24.0,11.0
Commercial,139666.0,60.0,22.0,1.0,0.0,3.53,17.0,11.0
Residential,58599.0,60.0,22.0,2.0,100.8,3.53,17.0,11.0
Commercial,155760.0,2.0,4.0,1.5,78.5,2.0,1.0,0.0
Residential,43056.0,43.0,21.0,1.75,49.5,3.07,14.0,7.0
Residential,42818.0,43.0,21.0,1.8,110.4,3.07,14.0,7.0
Residential,61522.0,83.0,29.0,1.86,73.43,2.96,28.0,19.0
Residential,58838.0,83.0,29.0,1.43,90.86,2.96,28.0,19.0
Residential,100625.0,93.0,36.0,2.0,86.89,3.32,28.0,17.0
Residential,26777.0,93.0,36.0,1.75,89.75,3.32,28.0,17.0
Commercial,70697.0,25.0,12.0,1.4,74.8,5.0,5.0,5.0
Residential,44366.0,25.0,12.0,2.0,100.0,5.0,5.0,5.0
Residential,79555.0,93.0,33.0,1.5,54.67,3.44,27.0,18.0
Residential,28219.0,93.0,33.0,1.33,68.33,3.44,27.0,18.0
Residential,146044.0,76.0,27.0,1.83,92.08,3.04,25.0,15.0
Residential,29482.0,43.0,13.0,1.0,60.2,4.78,9.0,3.0
Residential,17587.0,31.0,13.0,2.0,88.5,3.88,8.0,2.0
Residential,43432.0,31.0,13.0,1.0,90.0,3.88,8.0,2.0
Residential,46907.0,23.0,9.0,2.0,98.0,2.88,8.0,4.0
Commercial,48044.0,20.0,8.0,1.33,67.67,2.86,7.0,3.0
Residential,13069.0,20.0,8.0,2.0,114.33,2.86,7.0,3.0
Residential,4616.0,20.0,8.0,2.0,108.5,2.86,7.0,3.0
Residential,23221.0,77.0,19.0,2.0,108.5,4.05,19.0,8.0
Residential,118213.0,77.0,19.0,1.21,110.5,4.05,19.0,8.0
Residential,24623.0,77.0,25.0,2.0,116.0,4.05,19.0,11.0
Residential,65488.0,77.0,25.0,1.33,105.78,4.05,19.0,11.0
Residential,69758.0,82.0,29.0,1.18,90.73,3.57,23.0,14.0
Commercial,17038.0,13.0,9.0,1.75,81.75,3.25,4.0,4.0
Residential,37282.0,62.0,16.0,2.0,99.67,4.43,14.0,13.0
Residential,55888.0,39.0,14.0,1.0,62.0,3.55,11.0,7.0
Commercial,47787.0,18.0,8.0,1.0,49.5,2.57,7.0,2.0
Residential,29078.0,18.0,8.0,1.6,65.8,2.57,7.0,2.0
Residential,12633.0,32.0,13.0,1.33,97.0,5.33,6.0,1.0
Residential,35016.0,15.0,7.0,1.0,101.75,2.5,6.0,2.0
Residential,19215.0,72.0,18.0,2.33,116.0,4.5,16.0,4.0
Residential,52830.0,72.0,18.0,1.75,117.88,4.5,16.0,4.0
Residential,46008.0,64.0,19.0,1.67,99.5,3.63,16.0,8.0
Residential,91868.0,54.0,18.0,1.67,121.22,3.0,18.0,10.0
Residential,39547.0,11.0,7.0,1.5,89.0,2.2,5.0,5.0
Residential,30101.0,63.0,18.0,2.0,116.0,4.2,15.0,10.0
Residential,72798.0,63.0,18.0,1.33,67.0,4.2,15.0,10.0
Residential,45097.0,28.0,14.0,2.0,110.0,2.55,11.0,6.0
Residential,23877.0,28.0,14.0,1.67,87.0,2.55,11.0,6.0
Commercial,12117.0,7.0,4.0,1.0,31.33,1.75,4.0,3.0
Residential,66911.0,54.0,17.0,1.71,74.29,3.38,16.0,11.0
Residential,32219.0,54.0,17.0,1.33,105.67,3.38,16.0,11.0
Residential,15434.0,38.0,8.0,1.25,126.0,4.75,8.0,5.0
Residential,80331.0,67.0,16.0,2.33,107.33,5.15,13.0,5.0
Residential,37923.0,67.0,16.0,2.33,114.33,5.15,13.0,5.0
Residential,15077.0,45.0,22.0,2.0,121.0,3.0,15.0,4.0
Residential,98864.0,45.0,22.0,1.67,118.22,3.0,15.0,4.0
Residential,12483.0,31.0,14.0,2.0,106.0,2.38,13.0,2.0
Residential,62534.0,31.0,14.0,1.86,105.0,2.38,13.0,2.0
Residential,59642.0,60.0,16.0,2.0,111.2,4.29,14.0,12.0
Residential,5391.0,35.0,19.0,2.0,121.0,3.18,11.0,3.0
Residential,64966.0,35.0,19.0,1.67,110.11,3.18,11.0,3.0
Residential,176775.0,102.0,45.0,2.0,99.94,2.37,43.0,27.0
Residential,74591.0,55.0,30.0,2.0,111.0,3.67,15.0,14.0
Residential,37809.0,36.0,11.0,2.0,76.25,3.27,11.0,8.0
Residential,59564.0,129.0,49.0,1.33,33.33,3.07,42.0,41.0
Residential,13373.0,129.0,49.0,1.0,106.0,3.07,42.0,41.0
Residential,54492.0,26.0,19.0,2.0,107.71,2.6,10.0,7.0
Commercial,66004.0,299.0,99.0,1.0,3.0,3.11,96.0,94.0
Residential,85524.0,299.0,99.0,2.5,95.25,3.11,96.0,94.0
Residential,34243.0,174.0,88.0,2.0,48.0,2.52,69.0,64.0
Commercial,140555.0,79.0,30.0,1.86,75.86,3.43,23.0,20.0
Commercial,52167.0,289.0,105.0,1.75,85.0,3.18,91.0,87.0
Residential,102746.0,53.0,26.0,1.9,85.6,2.52,21.0,11.0
Commercial,143335.0,289.0,105.0,2.0,64.67,3.18,91.0,87.0
Residential,248755.0,289.0,105.0,1.82,63.45,3.18,91.0,87.0
Residential,120657.0,289.0,105.0,2.0,91.0,3.18,91.0,87.0
Commercial,36355.0,151.0,76.0,1.67,112.33,2.65,57.0,28.0
Residential,222731.0,151.0,76.0,2.0,106.76,2.65,57.0,28.0
Residential,106247.0,151.0,76.0,1.78,107.0,2.65,57.0,28.0
Residential,66089.0,77.0,30.0,1.86,89.29,3.08,25.0,19.0
Residential,24032.0,77.0,30.0,2.0,56.5,3.08,25.0,19.0
Residential,49003.0,115.0,39.0,2.0,76.0,3.71,31.0,21.0
Residential,28994.0,115.0,39.0,2.0,106.0,3.71,31.0,21.0
Residential,55150.0,88.0,32.0,2.0,100.75,2.93,30.0,20.0
Residential,54536.0,88.0,32.0,2.0,100.44,2.93,30.0,20.0
Residential,56297.0,12.0,9.0,2.0,108.86,1.33,9.0,6.0
Residential,125891.0,169.0,76.0,2.09,94.09,2.56,63.0,51.0
Residential,22418.0,30.0,14.0,2.0,106.0,2.14,14.0,8.0
Residential,64801.0,30.0,14.0,1.89,105.44,2.14,14.0,8.0
Residential,90020.0,49.0,23.0,2.0,104.33,2.58,19.0,8.0
Residential,108561.0,55.0,25.0,2.0,107.67,3.06,18.0,8.0
Residential,39492.0,72.0,22.0,2.0,107.6,4.0,18.0,12.0
Residential,92466.0,72.0,22.0,1.89,103.22,4.0,18.0,12.0
Residential,27427.0,121.0,33.0,2.0,101.4,3.78,32.0,23.0
Residential,59991.0,121.0,33.0,1.86,103.57,3.78,32.0,23.0
Commercial,114637.0,19.0,10.0,1.0,46.2,2.38,8.0,7.0
Residential,174439.0,105.0,40.0,2.0,100.29,3.28,32.0,19.0
Residential,161151.0,81.0,31.0,2.0,99.58,2.7,30.0,21.0
Residential,48132.0,104.0,42.0,1.8,84.8,2.74,38.0,27.0
Residential,100931.0,104.0,42.0,2.0,103.9,2.74,38.0,27.0
Residential,93746.0,166.0,64.0,2.0,101.0,3.19,52.0,46.0
Residential,48840.0,166.0,64.0,2.0,105.75,3.19,52.0,46.0
Residential,116095.0,49.0,20.0,2.0,101.62,3.27,15.0,7.0
Residential,166936.0,95.0,32.0,2.0,101.36,3.52,27.0,12.0
Residential,85494.0,70.0,27.0,2.86,84.14,4.12,17.0,7.0
Residential,23853.0,23.0,14.0,2.0,67.0,2.3,10.0,6.0
Residential,132210.0,96.0,47.0,1.83,87.92,2.59,37.0,27.0
Residential,109451.0,60.0,22.0,2.13,89.75,3.33,18.0,13.0
Residential,193097.0,99.0,32.0,2.0,98.27,3.3,30.0,17.0
Residential,112992.0,70.0,30.0,2.5,96.13,3.04,23.0,18.0
Commercial,77733.0,3.0,2.0,1.0,0.0,1.5,2.0,1.0
Commercial,214812.0,3.0,15.0,2.0,101.5,1.0,3.0,3.0
Commercial,20550.0,17.0,8.0,1.0,70.33,2.83,6.0,4.0
Residential,27072.0,17.0,8.0,1.0,120.0,2.83,6.0,4.0
Residential,70133.0,71.0,23.0,2.0,109.0,2.86,22.0,14.0
Residential,27626.0,71.0,23.0,1.2,114.6,2.86,22.0,14.0
Residential,57513.0,31.0,18.0,2.0,99.13,2.58,12.0,10.0
Residential,56608.0,53.0,25.0,2.0,93.0,3.12,17.0,13.0
Residential,80926.0,59.0,33.0,1.86,85.14,2.57,23.0,16.0
Residential,90613.0,40.0,16.0,1.88,86.38,2.5,16.0,12.0
Residential,254524.0,157.0,62.0,2.0,95.81,2.71,58.0,46.0
Residential,139731.0,81.0,29.0,2.0,100.0,3.68,22.0,13.0
Residential,121880.0,121.0,41.0,1.82,78.27,3.56,34.0,28.0
Residential,21337.0,24.0,8.0,1.0,109.4,3.43,7.0,4.0
Residential,212786.0,127.0,54.0,1.93,106.93,2.7,47.0,27.0
Residential,32895.0,127.0,54.0,2.0,108.5,2.7,47.0,27.0
Residential,95912.0,18.0,8.0,2.0,108.5,2.57,7.0,5.0
Residential,48191.0,72.0,33.0,1.8,83.2,3.13,23.0,23.0
Residential,107159.0,42.0,18.0,1.83,79.17,3.0,14.0,10.0
Residential,57385.0,21.0,21.0,2.0,92.71,2.1,10.0,6.0
Residential,83096.0,37.0,16.0,2.0,106.71,3.08,12.0,4.0
Residential,55397.0,31.0,25.0,1.88,85.75,1.94,16.0,9.0
Residential,98771.0,56.0,30.0,1.88,84.0,3.73,15.0,8.0
Residential,172844.0,86.0,30.0,1.9,89.1,3.31,26.0,15.0
Residential,151032.0,123.0,41.0,2.33,97.5,3.62,34.0,28.0
Residential,214703.0,167.0,60.0,2.41,98.76,3.04,55.0,43.0
Residential,308902.0,160.0,49.0,2.0,86.6,3.56,45.0,32.0
Residential,34826.0,160.0,49.0,2.0,107.67,3.56,45.0,32.0
Commercial,301047.0,113.0,59.0,2.75,86.0,3.05,37.0,37.0
Residential,51218.0,17.0,8.0,2.75,117.75,3.4,5.0,2.0
Residential,78926.0,72.0,28.0,2.14,100.86,3.13,23.0,12.0
Residential,42723.0,52.0,13.0,2.4,110.0,4.33,12.0,6.0
Residential,32240.0,52.0,13.0,2.0,117.0,4.33,12.0,6.0
Residential,26933.0,26.0,14.0,2.5,114.5,2.36,11.0,7.0
Residential,55572.0,128.0,35.0,2.25,116.25,3.88,33.0,11.0
Residential,123847.0,128.0,35.0,2.38,114.19,3.88,33.0,11.0
Residential,69449.0,31.0,9.0,1.8,97.1,3.88,8.0,1.0
Residential,47430.0,61.0,21.0,2.0,100.83,3.05,20.0,13.0
Residential,114001.0,61.0,21.0,1.9,96.2,3.05,20.0,13.0
Residential,27509.0,17.0,5.0,1.75,77.0,5.67,3.0,1.0
Residential,62195.0,21.0,6.0,2.0,105.17,3.5,6.0,0.0
Residential,63398.0,96.0,30.0,1.8,96.4,3.2,30.0,24.0
Residential,57094.0,75.0,27.0,2.0,72.25,3.13,24.0,16.0
Residential,44413.0,75.0,27.0,2.0,100.0,3.13,24.0,16.0
Residential,107087.0,42.0,12.0,2.0,106.0,3.5,12.0,4.0
Commercial,42987.0,6.0,1.0,1.0,40.5,6.0,1.0,1.0
Residential,23910.0,23.0,12.0,2.0,117.33,3.83,6.0,5.0
Residential,34330.0,15.0,15.0,2.0,95.4,1.67,9.0,4.0
Residential,87753.0,67.0,23.0,1.88,71.63,3.94,17.0,12.0
Residential,12324.0,67.0,23.0,2.0,117.0,3.94,17.0,12.0
Residential,39343.0,61.0,19.0,2.0,96.0,3.39,18.0,9.0
Residential,42228.0,61.0,19.0,2.0,93.5,3.39,18.0,9.0
Residential,66563.0,31.0,9.0,2.14,95.43,3.44,9.0,1.0
Residential,147570.0,200.0,62.0,2.1,106.7,3.45,58.0,31.0
Residential,79710.0,200.0,62.0,1.82,96.09,3.45,58.0,31.0
Residential,55786.0,62.0,23.0,2.0,112.75,2.95,21.0,6.0
Residential,141832.0,62.0,23.0,1.46,68.08,2.95,21.0,6.0
Residential,42497.0,124.0,35.0,2.25,105.0,4.13,30.0,17.0
