Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Bullet tournament ,sanle,sztachalom,1-0,2016.06.30,22:23:22,1954,2064,15.0,-16.0,A00,Van't Kruijs Opening,60+0,Time forfeit
 Bullet ,carpachot,JessicaRubbit,0-1,2016.06.30,22:23:21,1668,1935,-4.0,4.0,B00,Carr Defense,60+0,Normal
 Blitz ,crossroadblues,ConflictedCulture,0-1,2016.06.30,22:23:14,1462,1526,-9.0,9.0,A40,Modern Defense,300+2,Normal
 Bullet tournament ,Hoplite,kick,1-0,2016.06.30,22:23:22,1641,1500,8.0,-8.0,D20,Queen's Gambit Accepted,60+0,Time forfeit
 Blitz ,Jose001535110,Chafing_Dish,1-0,2016.06.30,22:23:14,1545,1642,14.0,-14.0,A21,"English Opening: King's English Variation, Reversed Sicilian",60+4,Normal
 Classical ,cesar1945,Wobbels,0-1,2016.06.30,22:23:21,1305,1421,-7.0,7.0,B20,Sicilian Defense: Bowdler Attack,900+0,Normal
 Bullet ,joddle,LususV3,1-0,2016.06.30,22:23:23,2372,2151,5.0,-4.0,A31,"English Opening: Symmetrical Variation, Anti-Benoni Variation",60+0,Time forfeit
 Bullet tournament ,Grga1,mwbierna,1-0,2016.06.30,22:23:22,1848,2047,14.0,-19.0,B02,Alekhine Defense: Maroczy Variation,60+0,Normal
 Bullet ,Vinvin,ruslanschandorff,0-1,2016.06.30,22:23:25,2150,2037,-12.0,14.0,B18,"Caro-Kann Defense: Classical Variation, Main Line",60+0,Time forfeit
 Blitz ,dirtylittleboy,kukarex,1-0,2016.06.30,22:23:28,1407,1331,9.0,-8.0,C34,"King's Gambit Accepted, MacLeod Defense",180+0,Normal
 Blitz ,alifarahi,MrMole,0-1,2016.06.30,22:23:24,1969,1816,-15.0,19.0,A43,Old Benoni Defense,180+0,Normal
 Classical ,robertitof7,mabe48b,0-1,2016.06.30,22:23:28,1730,1824,-8.0,8.0,C41,Philidor Defense #2,600+0,Normal
 Blitz ,Morozov_Vadim,Mozartchess,0-1,2016.06.30,22:23:29,2137,2112,-11.0,12.0,A10,English Opening: Jaenisch Gambit,180+0,Normal
 Blitz ,ozgurilter,siko191,1-0,2016.06.30,22:23:29,1670,1713,13.0,-12.0,D00,Queen's Pawn Game #2,180+0,Normal
 Bullet ,Petrum0,Corgatha,0-1,2016.06.30,22:23:21,1902,1850,-12.0,12.0,B22,Sicilian Defense: Alapin Variation,0+2,Normal
 Blitz tournament ,BoskoRadic77,EinsteinSantos,0-1,2016.06.30,22:23:31,1845,1809,-12.0,13.0,A49,East Indian Defense,300+0,Normal
 Bullet ,casperownd,mgmgmgmg,0-1,2016.06.30,22:23:30,1500,1478,-187.0,7.0,C20,King's Pawn Game: Napoleon Attack,90+2,Time forfeit
 Blitz ,cheenko,easytobeat,0-1,2016.06.30,22:23:30,2343,2623,-4.0,5.0,C29,"Vienna Game: Vienna Gambit, Modern Variation",180+2,Normal
 Bullet tournament ,MrKit,bastimento,1-0,2016.06.30,22:23:22,2115,2047,10.0,-9.0,A40,Mikenas Defense,60+0,Normal
 Blitz ,alexeiryumin,GPJdavid15,1-0,2016.06.30,22:23:31,1702,1618,8.0,-8.0,C38,"King's Gambit Accepted, Greco Gambit",180+2,Normal
 Blitz ,unpotumblr,SMario,0-1,2016.06.30,22:23:30,2397,2455,-9.0,8.0,B06,Modern Defense: Standard Defense,180+0,Normal
 Blitz tournament ,Ojoquesoybueno,davidmencik,1-0,2016.06.30,22:23:31,2029,2033,16.0,-15.0,B07,Pirc Defense: Byrne Variation,180+0,Normal
 Blitz tournament ,JorgeSuarezP1,nelsonuribexxx,0-1,2016.06.30,22:23:31,1669,1951,-4.0,4.0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",180+0,Normal
 Classical ,PepinilloDiablo,oncapintada,0-1,2016.06.30,22:23:22,1829,1967,-7.0,13.0,C45,Scotch Game: Potter Variation,600+5,Normal
 Blitz ,busti22,pavest,0-1,2016.06.30,22:23:31,1669,1613,-12.0,13.0,C02,"French Defense: Advance Variation, Paulsen Attack",300+0,Time forfeit
 Blitz tournament ,yeezus3000,nezhone,1-0,2016.06.30,22:23:31,1907,1964,14.0,-13.0,D00,Queen's Pawn Game,180+0,Time forfeit
 Bullet ,Kiiris,bariloche,1-0,2016.06.30,22:23:24,2108,1948,6.0,-6.0,B23,Sicilian Defense: Closed,60+0,Time forfeit
 Classical ,Applesauce136,marvmndez24,0-1,2016.06.30,22:23:33,1819,1650,-18.0,16.0,B10,Caro-Kann Defense,600+0,Normal
 Blitz ,Xiaomi,tribulete,1-0,2016.06.30,22:23:31,1945,1876,8.0,-8.0,C40,King's Pawn Game: Busch-Gass Gambit,180+0,Normal
 Classical ,percarju,Kaiobg,0-1,2016.06.30,22:23:24,1426,1475,-9.0,9.0,B50,Sicilian Defense,900+15,Normal
 Blitz ,elmuthalleth,davorindr,1-0,2016.06.30,22:23:31,2235,2040,6.0,-6.0,A41,Old Indian Defense,300+0,Normal
 Blitz ,koje,wgomezg,1-0,2016.06.30,22:23:31,1984,1990,11.0,-11.0,A06,Zukertort Opening: Reversed Mexican Defense,180+0,Time forfeit
 Blitz tournament ,yoyoparker,DrBergerBerger,0-1,2016.06.30,22:23:31,1701,2431,-1.0,1.0,A00,Van't Kruijs Opening,300+0,Normal
 Blitz ,fedraros,plumbus,1-0,2016.06.30,22:23:34,1509,1642,14.0,-15.0,B52,"Sicilian Defense: Canal Attack, Main Line",300+0,Normal
 Blitz ,drixo,Nikkitah,1-0,2016.06.30,22:23:34,1515,1406,7.0,-8.0,C65,Ruy Lopez: Berlin Defense #2,300+0,Normal
 Classical ,maskayal,sereno,1-0,2016.06.30,22:23:34,1518,1482,10.0,-10.0,C41,Philidor Defense: Exchange Variation #3,480+1,Normal
 Blitz tournament ,TheDPmaster,damlaar,0-1,2016.06.30,22:23:31,1699,2020,-13.0,4.0,C34,"King's Gambit Accepted, Becker Defense",300+0,Normal
 Blitz ,maluque,nibul0,0-1,2016.06.30,22:23:34,1457,1495,-11.0,10.0,C23,Bishop's Opening,180+3,Normal
 Classical ,Danichivas,Jo_Long,1-0,2016.06.30,22:23:37,1861,1712,7.0,-7.0,C44,Ponziani Opening: Jaenisch Counterattack,600+0,Normal
 Classical ,purplearrow,Wenderio,0-1,2016.06.30,22:23:31,1628,1503,-22.0,14.0,D00,Queen's Pawn Game: Chigorin Variation,300+8,Normal
 Blitz ,Norve,Gambito98,0-1,2016.06.30,22:23:35,1533,1365,-16.0,18.0,D30,Queen's Gambit Declined,180+0,Normal
 Classical ,SickEV,Oleksii_Vasylovych,0-1,2016.06.30,22:23:36,1847,1768,-13.0,14.0,C34,"King's Gambit Accepted, King's Knight Gambit",600+0,Normal
 Blitz ,steparound,trumpu,1-0,2016.06.30,22:23:37,2102,2019,8.0,-8.0,B40,Sicilian Defense: French Variation,180+0,Time forfeit
 Bullet ,videk,thoefer,0-1,2016.06.30,22:23:38,1485,1512,-10.0,10.0,E01,Catalan Opening: Closed Variation,0+4,Normal
 Bullet ,KarlRoll,gipsy_man,0-1,2016.06.30,22:23:37,1716,1850,-7.0,7.0,A41,Queen's Pawn,60+0,Time forfeit
 Classical ,king101,podrisas,1-0,2016.06.30,22:23:39,1370,1486,20.0,-14.0,C20,King's Pawn Game,480+0,Normal
 Blitz ,brunoanono,EvgenyGolovkin,0-1,2016.06.30,22:23:38,1327,1277,-13.0,13.0,E21,Nimzo-Indian Defense: Three Knights Variation,300+0,Time forfeit
 Blitz ,mipour66,gravihouse,0-1,2016.06.30,22:23:37,1813,1766,-11.0,12.0,A01,Nimzo-Larsen Attack: English Variation,180+0,Time forfeit
 Classical ,Aleksandr_Tril,RSdC,0-1,2016.06.30,22:23:39,1935,1920,-11.0,11.0,A00,Hungarian Opening,480+0,Time forfeit
 Classical ,mcelal,miriani,1-0,2016.06.30,22:23:39,1853,1652,5.0,-6.0,C00,French Defense: Knight Variation,300+8,Normal
 Bullet tournament ,oberjarl,Spyandy,0-1,2016.06.30,22:23:40,1863,1847,-28.0,13.0,A10,English Opening: Anglo-Dutch Defense,60+0,Time forfeit
 Bullet tournament ,laussy,M3rC3L_CCas,1-0,2016.06.30,22:23:40,1741,1688,10.0,-11.0,B01,Scandinavian Defense,60+0,Time forfeit
 Bullet tournament ,Swatchess,djorfchess,1-0,2016.06.30,22:23:40,1952,1826,8.0,-8.0,A40,Queen's Pawn,60+0,Time forfeit
 Bullet ,Les3BB,zioIggino,1-0,2016.06.30,22:23:35,1239,1536,25.0,-19.0,A01,Nimzo-Larsen Attack,0+3,Time forfeit
 Blitz ,onlyasd,PetroCaparkov,1-0,2016.06.30,22:23:41,1801,1820,12.0,-11.0,B30,Sicilian Defense: Old Sicilian,180+5,Normal
 Classical ,marco8700,nindza1953,0-1,2016.06.30,22:23:40,1247,1990,-2.0,1.0,A00,Polish Opening,1500+0,Normal
 Blitz ,canadiancenter,ChessPlayer3000,0-1,2016.06.30,22:23:41,2118,2241,-7.0,7.0,A01,Nimzo-Larsen Attack: Modern Variation,180+0,Normal
 Bullet ,Moep_Meep,BogdanC,1-0,2016.06.30,22:23:36,1405,1380,10.0,-10.0,B01,Scandinavian Defense: Modern Variation #2,60+0,Normal
 Bullet tournament ,PriusFide,Sklog,1-0,2016.06.30,22:23:40,2192,2050,6.0,-8.0,A43,Benoni Defense: Benoni-Indian Defense,60+0,Time forfeit
 Blitz ,Georko,obed2800,1-0,2016.06.30,22:23:41,1532,1543,11.0,-11.0,A40,Modern Defense,300+0,Normal
 Bullet ,Cannnabis,gioele,1-0,2016.06.30,22:23:43,1843,1666,7.0,-7.0,B27,Sicilian Defense,60+0,Time forfeit
 Blitz ,vjh,chessmanegy,1/2-1/2,2016.06.30,22:23:42,1976,2149,5.0,-6.0,A42,"Modern Defense: Averbakh System, Kotov Variation",180+2,Normal
 Bullet ,lueca,V1962,0-1,2016.06.30,22:23:43,1585,1664,-9.0,9.0,A00,Van't Kruijs Opening,120+0,Normal
 Blitz ,flirtz,Lisyonok-7x,0-1,2016.06.30,22:23:44,1996,2070,-9.0,8.0,A40,Modern Defense,300+0,Normal
 Blitz ,cyrrus25,i2hi2play,0-1,2016.06.30,22:23:41,1624,1593,-11.0,12.0,A51,Indian Game: Budapest Defense,180+0,Time forfeit
 Blitz ,Moh001,crispamo,1-0,2016.06.30,22:23:44,1835,1910,13.0,-13.0,B23,Sicilian Defense: Closed Variation,180+0,Time forfeit
 Blitz tournament ,eshshennawy92,ELE5EN,0-1,2016.06.30,22:23:46,2101,2174,-10.0,11.0,D94,"Gruenfeld Defense: Three Knights Variation, Burille Variation",180+2,Normal
 Blitz ,KILLBOT9000,Stemcell,1-0,2016.06.30,22:23:44,1399,991,3.0,-3.0,C20,King's Pawn Game: Wayward Queen Attack,420+0,Normal
 Blitz ,sapen,AlfilFou,0-1,2016.06.30,22:23:45,1570,1514,-13.0,13.0,B20,Sicilian Defense: Bowdler Attack,300+3,Normal
 Blitz ,misterno100,DuckGoesQuack,1-0,2016.06.30,22:23:47,1277,1288,11.0,-14.0,C64,Ruy Lopez: Classical Variation,60+3,Normal
 Classical ,neopolis,davynavy,0-1,2016.06.30,22:23:49,1389,1300,-13.0,16.0,D01,Queen's Pawn Game: Chigorin Variation,900+0,Normal
 Classical ,marclor,Xlight,0-1,2016.06.30,22:23:48,1477,1561,-9.0,10.0,D00,Queen's Pawn Game #3,1200+0,Normal
 Blitz ,argo713,xyuc3el,0-1,2016.06.30,22:23:48,1363,1748,-3.0,2.0,B43,"Sicilian Defense: Kan Variation, Knight Variation",180+2,Normal
 Blitz ,SchizoMoves,roverlord,1-0,2016.06.30,22:23:49,2066,2088,11.0,-11.0,C40,Elephant Gambit,180+0,Normal
 Blitz ,carreteroarturo,achimari,1-0,2016.06.30,22:23:43,1453,1599,15.0,-15.0,B06,Modern Defense,0+10,Normal
 Bullet ,dunny,SelectioNaturalis,1-0,2016.06.30,22:23:51,1842,1845,11.0,-11.0,A45,Indian Game,60+0,Normal
 Bullet ,bound7,Siagas,1-0,2016.06.30,22:23:44,1531,1515,11.0,-10.0,A00,Hungarian Opening: Sicilian Invitation,60+0,Time forfeit
 Bullet ,Brocadox,el-insaciable,0-1,2016.06.30,22:23:50,1698,1644,-13.0,12.0,C70,"Ruy Lopez: Morphy Defense, Graz Variation",60+1,Normal
 Classical ,amrking,Tertsi,0-1,2016.06.30,22:23:46,1594,1598,-12.0,11.0,D00,Queen's Pawn Game #2,300+8,Time forfeit
 Blitz ,QualisArtifex,arash1810,1-0,2016.06.30,22:23:54,1848,1596,4.0,-58.0,A30,English Opening: Symmetrical Variation,300+0,Normal
 Classical ,pedrotower,Sbrigani,0-1,2016.06.30,22:23:55,1786,1718,-13.0,14.0,B06,Robatsch (Modern) Defense,600+0,Normal
 Classical tournament ,jandy,Algebra1,0-1,2016.06.30,22:23:56,1399,1322,-14.0,25.0,C60,Ruy Lopez,600+0,Normal
 Blitz ,ftyou,klas431,1-0,2016.06.30,22:23:55,1814,1757,9.0,-10.0,C31,"King's Gambit, Falkbeer Countergambit, Staunton Line",180+0,Normal
 Blitz ,jacksssparrow,eg973,1-0,2016.06.30,22:23:55,1645,1474,6.0,-6.0,C40,King's Pawn Game: Busch-Gass Gambit,300+0,Normal
 Classical tournament ,friodorovic,lincolnmarley,1-0,2016.06.30,22:23:56,1746,1762,12.0,-13.0,A20,"English Opening: King's English Variation, Nimzowitsch Variation",600+0,Normal
 Bullet ,AliBekir,Turukmakkto,0-1,2016.06.30,22:23:52,1637,1924,-46.0,4.0,C55,Italian Game: Anti-Fried Liver Defense,60+0,Normal
 Classical tournament ,legendaryfatguy,ANUCORSARIO,0-1,2016.06.30,22:23:56,1765,1729,-13.0,19.0,C00,French Defense: Steiner Variation,600+0,Normal
 Classical ,denis-chess,AIDAHO,1-0,2016.06.30,22:23:53,1873,1876,11.0,-11.0,D41,"Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation",600+0,Normal
 Bullet tournament ,el3ph4nt,hurvajsmanka,1-0,2016.06.30,22:23:56,1933,1790,7.0,-7.0,A00,Mieses Opening,60+0,Normal
 Classical tournament ,Firdaus_edo,TonoyanRob7,0-1,2016.06.30,22:23:56,1862,2228,-3.0,2.0,B10,Caro-Kann Defense: Breyer Variation,600+0,Normal
 Classical ,damien76600,eveready74,1-0,2016.06.30,22:23:54,1809,1744,10.0,-9.0,A40,Horwitz Defense,600+0,Time forfeit
 Bullet tournament ,fay13011,poopyhead,0-1,2016.06.30,22:23:56,1771,1913,-8.0,11.0,B01,Scandinavian Defense: Blackburne Gambit,60+0,Time forfeit
 Bullet tournament ,JusticeBeaverr,jjj333,0-1,2016.06.30,22:23:56,1854,1932,-9.0,9.0,B44,Sicilian Defense: Paulsen Variation,60+0,Normal
 Bullet tournament ,Dante95,mistrzdzow,1-0,2016.06.30,22:23:56,2062,1898,7.0,-7.0,A13,English Opening: Agincourt Defense,60+0,Normal
 Bullet tournament ,altuntun,peapea,1-0,2016.06.30,22:23:56,1339,1312,13.0,-14.0,A04,Zukertort Opening: Slav Invitation,60+0,Time forfeit
 Bullet ,killerturtle,moprak,1-0,2016.06.30,22:23:55,1552,1601,13.0,-13.0,A40,Englund Gambit Complex: Felbecker Gambit,0+4,Normal
 Classical ,AsdF1234AsdF,MikePapGR,1-0,2016.06.30,22:23:56,1225,1223,14.0,-11.0,C20,King's Pawn Game: Wayward Queen Attack,540+8,Normal
 Bullet ,ars521,arequipatomas,1-0,2016.06.30,22:23:58,1644,1488,7.0,-7.0,B01,Scandinavian Defense: Anderssen Counterattack,60+1,Time forfeit
 Classical tournament ,endri191,miro81,1-0,2016.06.30,22:23:56,1559,1801,21.0,-18.0,B00,Nimzowitsch Defense: Williams Variation,600+0,Normal
 Bullet tournament ,CuriousKnight,decidement,1-0,2016.06.30,22:23:56,2150,1916,5.0,-4.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+0,Normal
 Classical ,valmasia3,ElieWagner,1-0,2016.06.30,22:23:59,1966,1366,1.0,0.0,C36,King's Gambit Accepted: Modern Defense #2,300+5,Normal
 Blitz ,ramchandanbapu,BIGbossSTIGAZZI,1-0,2016.06.30,22:23:59,1625,1580,9.0,-9.0,D06,Queen's Gambit Refused: Marshall Defense,300+3,Normal
 Classical ,NN2X,beactor,1-0,2016.06.30,22:24:00,1904,1503,2.0,-2.0,C55,Italian Game: Anti-Fried Liver Defense,1200+0,Normal
 Classical ,ashfem1,pmateu8,1-0,2016.06.30,22:24:00,1890,2008,15.0,-14.0,E00,Indian Game: East Indian Defense,300+5,Time forfeit
 Bullet tournament ,Joaozinho,splinck,0-1,2016.06.30,22:23:56,1797,1721,-15.0,15.0,B06,Modern Defense: Pseudo-Austrian Attack,60+0,Normal
 Bullet tournament ,zdiegol,taleguito,0-1,2016.06.30,22:23:56,1729,2028,-4.0,3.0,C47,Four Knights Game: Scotch Variation,60+0,Normal
 Blitz ,EE322,Rwoyland,1-0,2016.06.30,22:24:01,1750,1578,6.0,-6.0,A80,Dutch Defense,300+0,Normal
 Blitz ,Copersucar,eduvillarroelm,0-1,2016.06.30,22:24:02,1635,1699,-9.0,10.0,A40,Queen's Pawn,120+2,Normal
 Classical ,beboze,xyzee,1-0,2016.06.30,22:24:01,1882,1824,78.0,-13.0,D20,Queen's Gambit Accepted: Old Variation,600+0,Normal
 Blitz ,Abracus,mihail11,1-0,2016.06.30,22:24:03,1791,1734,9.0,-9.0,C20,Bishop's Opening: Boi Variation,300+2,Normal
 Classical ,capivara_maconhera,Shaundoz,1-0,2016.06.30,22:24:03,1638,1585,31.0,-8.0,D06,Queen's Gambit Refused: Marshall Defense,600+0,Normal
 Blitz ,FrauKuhn,jahmany,1-0,2016.06.30,22:24:01,1905,1837,9.0,-9.0,B01,Scandinavian Defense: Modern Variation #2,300+0,Time forfeit
 Classical ,EKNIF,NICEDWARF,0-1,2016.06.30,22:24:03,1836,1880,-9.0,9.0,A40,English Defense,600+0,Normal
 Bullet ,Frozenedge666,gustavocesarpelli,1-0,2016.06.30,22:23:56,1908,1466,3.0,-2.0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",60+0,Time forfeit
 Bullet ,sofos1,kutspel,1-0,2016.06.30,22:24:03,1658,1876,22.0,-39.0,A00,Ware Opening,60+0,Time forfeit
 Blitz ,akaratas,lucasArg,1-0,2016.06.30,22:24:04,1536,1290,5.0,-6.0,C00,French Defense: Knight Variation,420+0,Normal
 Blitz ,tallado,rado68399,1-0,2016.06.30,22:24:00,1936,1961,26.0,-11.0,B07,Pirc Defense,180+0,Normal
 Blitz ,O5xO5,tb,1-0,2016.06.30,22:24:04,1764,1598,6.0,-6.0,C00,French Defense: Normal Variation,300+0,Normal
 Blitz ,ahmadmohseni,kulje,1-0,2016.06.30,22:24:06,1877,2006,15.0,-15.0,D02,Queen's Pawn Game: Krause Variation,300+0,Time forfeit
 Blitz ,Anarchik07,GLBH,1-0,2016.06.30,22:24:07,1253,1148,8.0,-9.0,C20,Bishop's Opening: Boi Variation,300+0,Normal
 Blitz ,thpower2,Chespton,1-0,2016.06.30,22:24:07,1678,1541,7.0,-7.0,A06,Zukertort Opening: Tennison Gambit,300+0,Normal
 Blitz ,lugalbanda,mishalom,0-1,2016.06.30,22:24:06,2051,2025,-11.0,11.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Normal
 Classical ,crocodile2u,thierry0057,1-0,2016.06.30,22:24:07,1681,1687,11.0,-11.0,C41,Philidor Defense #3,1200+0,Normal
 Blitz ,RyanAdams,windycity,0-1,2016.06.30,22:24:05,1389,1343,-13.0,14.0,B40,Sicilian Defense: French Variation,300+0,Normal
 Classical ,topraktoprak,hyperionn,1-0,2016.06.30,22:24:08,1870,1708,7.0,-6.0,C23,Bishop's Opening: Philidor Variation,900+0,Normal
 Blitz ,eixerit1971,timoha60,1-0,2016.06.30,22:24:10,1701,1729,11.0,-13.0,D00,Queen's Pawn Game: Levitsky Attack,180+0,Time forfeit
 Blitz ,SRV9497,Bnasty,1-0,2016.06.30,22:24:11,1560,1419,8.0,-7.0,B20,Sicilian Defense: Staunton-Cochrane Variation,180+0,Normal
 Blitz ,Caferserrer44,papabally,1-0,2016.06.30,22:24:10,1932,1860,10.0,-9.0,C50,Giuoco Piano,300+0,Normal
 Bullet ,idaho95,Lorenzo94S,1-0,2016.06.30,22:24:03,1390,1447,13.0,-13.0,B70,Sicilian Defense: Dragon Variation,120+0,Normal
 Blitz ,krgzololeg,reginarossa,1/2-1/2,2016.06.30,22:24:11,1569,1642,2.0,-2.0,D00,Queen's Pawn Game: Mason Attack,300+0,Normal
 Bullet ,Radenko-metraza-PK,mixelsonK,1-0,2016.06.30,22:24:11,1679,1478,5.0,-6.0,B07,Rat Defense: Harmonist,120+1,Time forfeit
 Blitz ,batyaiktat,alekhine1984,1-0,2016.06.30,22:24:12,1998,1839,6.0,-6.0,C34,"King's Gambit Accepted, Fischer Defense",180+0,Normal
 Classical ,Yeyaxx,YOSAFAT,1-0,2016.06.30,22:24:13,1587,1208,25.0,-4.0,B00,St. George Defense,300+8,Normal
 Blitz ,kami1946,Rumrunner,0-1,2016.06.30,22:24:12,1600,1682,-8.0,8.0,A00,Hungarian Opening,420+0,Normal
 Blitz ,MohitGupta,LaPendule,1-0,2016.06.30,22:24:13,1431,1089,4.0,-4.0,C25,Vienna Game: Anderssen Defense,300+0,Normal
 Classical ,PawnedMyStuff,Riskybussiness,1-0,2016.06.30,22:24:10,1586,1575,10.0,-20.0,C41,Philidor Defense #2,300+5,Time forfeit
 Bullet ,tiltCHIMP,malikmat,0-1,2016.06.30,22:24:09,1793,1634,-17.0,16.0,A40,English Defense #2,60+0,Normal
 Bullet tournament ,wqweto,gleep,0-1,2016.06.30,22:24:14,1362,1882,-2.0,1.0,D05,Colle System: Traditional Colle,60+0,Normal
 Bullet tournament ,sirozha,SHIMMA77,1-0,2016.06.30,22:24:14,1817,1657,7.0,-7.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+0,Time forfeit
 Bullet tournament ,MGKA,JohnHF,1-0,2016.06.30,22:24:14,1790,1866,15.0,-14.0,A00,Van't Kruijs Opening,60+0,Time forfeit
 Classical ,sarraff12,ali-geko,0-1,2016.06.30,22:24:11,1755,1851,-8.0,8.0,C46,Four Knights Game,900+0,Normal
 Blitz ,gbsalvio,DVRazor,0-1,2016.06.30,22:24:15,2147,2342,-6.0,5.0,B99,"Sicilian Defense: Najdorf Variation, Main Line",180+0,Normal
 Bullet tournament ,amateur2016,O-Dannyboy,0-1,2016.06.30,22:24:14,2190,1954,-20.0,19.0,A00,Mieses Opening,60+0,Time forfeit
 Blitz tournament ,MatiRL,trend19,1-0,2016.06.30,22:24:17,2097,1901,6.0,-6.0,B01,"Scandinavian Defense: Main Line, Leonhardt Gambit",180+0,Time forfeit
 Blitz ,lichess_401,RafinhaGOD,0-1,2016.06.30,22:24:16,1782,1609,-16.0,17.0,A01,Nimzo-Larsen Attack: Modern Variation #4,180+2,Normal
 Bullet ,marcos2970,jotabrasil,1-0,2016.06.30,22:24:18,1745,1727,11.0,-11.0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",60+0,Time forfeit
 Blitz ,Joueurfel,neoaulug,0-1,2016.06.30,22:24:17,1701,1799,-7.0,8.0,B01,Scandinavian Defense: Icelandic-Palme Gambit,180+0,Normal
 Blitz tournament ,buzzu,RENZZO77,1-0,2016.06.30,22:24:17,1815,1883,14.0,-13.0,D31,Semi-Slav Defense: Marshall Gambit,180+0,Time forfeit
 Blitz ,anishgupta43,eliko11,1-0,2016.06.30,22:24:13,1906,1712,7.0,-5.0,B45,"Sicilian Defense: Paulsen Variation, Normal Variation",180+2,Normal
 Blitz ,miravesta,alex92vt,1-0,2016.06.30,22:24:16,1243,1363,17.0,-14.0,D02,Queen's Pawn Game: Anti-Torre,240+0,Normal
 Blitz ,mauriziospin,mruknowwho,0-1,2016.06.30,22:24:19,1496,1727,-5.0,5.0,E61,Indian Game: West Indian Defense,180+0,Normal
 Blitz ,Meetztapooz,taha1970,1-0,2016.06.30,22:24:18,1733,1763,13.0,-12.0,A00,Polish Opening,300+0,Normal
 Bullet ,cmnt,Eduardopb,1-0,2016.06.30,22:24:19,1321,1463,14.0,-74.0,B20,Sicilian Defense,120+1,Time forfeit
 Bullet tournament ,Scala,Parris4iv,0-1,2016.06.30,22:24:14,1562,1718,-7.0,7.0,D06,Queen's Gambit Refused: Marshall Defense,60+0,Normal
 Classical ,Sexosterone,Hankman,0-1,2016.06.30,22:24:19,1517,1709,-6.0,6.0,A00,Van't Kruijs Opening,600+0,Time forfeit
 Blitz tournament ,rbtbln2666,kafune,1-0,2016.06.30,22:24:17,1713,1679,11.0,-11.0,A04,Zukertort Opening: Sicilian Invitation,180+0,Normal
 Classical ,owl-13,bigkaspa,1-0,2016.06.30,22:24:20,1610,1540,10.0,-8.0,C41,Philidor Defense #3,480+3,Normal
 Classical ,Udgin,salaudin53,1-0,2016.06.30,22:24:20,1789,1600,6.0,-6.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,480+0,Normal
 Classical ,voldkirk,Temptations,1-0,2016.06.30,22:24:22,1815,1768,10.0,-9.0,A00,Polish Opening,600+0,Normal
 Bullet ,Eduardolis2,asandrey2,1-0,2016.06.30,22:24:21,2056,1909,7.0,-6.0,A70,Benoni Defense: Classical Variation,120+0,Normal
 Classical ,dobarnamjemirkan,edycorp,1-0,2016.06.30,22:24:20,1868,1847,11.0,-10.0,C00,Rat Defense: Small Center Defense,1200+0,Normal
 Classical ,jpFrance,leszek95,1-0,2016.06.30,22:24:22,1301,1464,19.0,-16.0,A40,English Defense #2,900+0,Normal
 Blitz ,salfina,okvedee1,1-0,2016.06.30,22:24:22,1688,1569,9.0,-7.0,C00,French Defense: Normal Variation,300+0,Normal
 Blitz ,Makelchess,animah88,1-0,2016.06.30,22:24:24,1590,1786,16.0,-20.0,C00,French Defense: Knight Variation,180+5,Normal
 Bullet ,severin,MaurusAP,1-0,2016.06.30,22:24:22,1499,1535,12.0,-12.0,B13,Caro-Kann Defense: Panov Attack #2,60+2,Normal
 Blitz ,Rambo999,sjaakschaak,1-0,2016.06.30,22:24:26,1481,1340,7.0,-7.0,D07,Queen's Gambit Refused: Chigorin Defense,180+3,Normal
 Bullet ,sefikzvekic12,MINSK_VAMPIRE,1-0,2016.06.30,22:24:24,1842,1896,13.0,-11.0,A45,Indian Game: Tartakower Attack,120+0,Normal
 Classical ,marren47,nickohetnandez,1-0,2016.06.30,22:24:26,1318,1037,4.0,-6.0,B01,Scandinavian Defense,1800+10,Normal
 Bullet ,paleta,Joris_Busink,1-0,2016.06.30,22:24:25,1644,1509,7.0,-7.0,B00,Owen Defense,120+1,Normal
 Classical ,rolaidlaw,fredyc,0-1,2016.06.30,22:24:26,1382,1737,-6.0,3.0,C34,"King's Gambit Accepted, MacLeod Defense",300+10,Normal
 Blitz ,Dea_tacita,djesoo,0-1,2016.06.30,22:24:26,1891,2004,-7.0,7.0,E00,Indian Game: East Indian Defense,180+0,Time forfeit
 Bullet ,gruppa_aria,Evo01,1-0,2016.06.30,22:24:20,2336,1932,3.0,-3.0,D08,"Queen's Gambit Refused: Albin Countergambit, Normal Line",90+0,Time forfeit
 Classical ,pecoso53,dewa83,0-1,2016.06.30,22:24:26,1694,1582,-14.0,17.0,A40,Englund Gambit Complex: Felbecker Gambit,600+0,Time forfeit
 Bullet ,barschina,mirrumax,0-1,2016.06.30,22:24:26,1678,1697,-10.0,10.0,A10,English Opening: Anglo-Lithuanian Variation,60+0,Time forfeit
