Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Blitz ,Green_Tea,NJRay66,1-0,2016.06.30,22:13:56,1377,1392,12.0,-11.0,C44,Ponziani Opening: Jaenisch Counterattack,300+2,Normal
 Bullet ,BigGamer003,pecheca,0-1,2016.06.30,22:14:02,2096,2076,-11.0,13.0,D44,Semi-Slav Defense: Anti-Moscow Gambit,60+2,Normal
 Classical ,adiga92,aldebarmariano,0-1,2016.06.30,22:14:02,1717,1592,-14.0,15.0,B50,Sicilian Defense: Delayed Alapin,900+5,Normal
 Blitz ,nagne,Smolensky,0-1,2016.06.30,22:14:03,2318,2313,-11.0,11.0,B02,Alekhine Defense: Saemisch Attack,180+0,Normal
 Bullet ,delnik,LudoChess79,0-1,2016.06.30,22:14:01,1815,1694,-14.0,14.0,A01,Nimzo-Larsen Attack,0+2,Time forfeit
 Blitz ,Xiaomi,Moh001,1-0,2016.06.30,22:14:04,1925,1854,8.0,-8.0,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",180+0,Time forfeit
 Blitz ,dstark00,Celebre,1-0,2016.06.30,22:14:07,2159,1914,6.0,-4.0,C25,Vienna Game: Omaha Gambit,180+0,Time forfeit
 Classical ,arielis,gabywiner,0-1,2016.06.30,22:14:07,1630,1613,-13.0,12.0,A40,Horwitz Defense,1200+0,Time forfeit
 Bullet ,Radenko-metraza-PK,mixelsonK,1-0,2016.06.30,22:14:08,1667,1491,6.0,-7.0,C34,"King's Gambit Accepted, Fischer Defense",120+1,Time forfeit
 Classical ,piter90,papaer-boy,0-1,2016.06.30,22:14:09,1647,1672,-10.0,10.0,C00,Queen's Pawn Game: Franco-Sicilian Defense,360+5,Normal
 Blitz ,zz15,Squalito,0-1,2016.06.30,22:14:10,1580,1741,-6.0,7.0,C46,Four Knights Game,180+2,Normal
 Blitz ,aruo,CharKou,0-1,2016.06.30,22:14:10,1941,1905,-12.0,12.0,A42,Sicilian Defense: Hyperaccelerated Fianchetto,180+2,Time forfeit
 Blitz ,Grootpapegoja,perenquen,0-1,2016.06.30,22:14:13,1484,1328,-17.0,15.0,D20,Queen's Gambit Accepted: Old Variation,120+5,Normal
 Blitz ,zikitrake,RobertRoki,1-0,2016.06.30,22:14:09,1942,1917,9.0,-9.0,A00,Van't Kruijs Opening,180+0,Normal
