town,studio_units,1br_units,2br_units,3br_units,4br_units,tot_units,square_footage,ceiling_height,final_market_value,investment_rating,net_operating_income,parking_spots,year_built
Elk Grove,0.0,0,0,0.0,0.0,0,23784,16,1644531,C,156879,0.0,1981
Elk Grove,0.0,0,0,0.0,0.0,0,12004,17,887512,C,84127,0.0,1981
Elk Grove,0.0,0,0,0.0,0.0,0,18974,20,1402837,C,132974,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,26981,15,2327518,C,177966,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,12000,14,887216,C,84099,0.0,1965
Elk Grove,0.0,0,0,0.0,0.0,0,10952,16,809733,C,76754,0.0,1988
Elk Grove,0.0,0,0,0.0,0.0,0,39544,16,2734247,C,260832,0.0,1995
Elk Grove,0.0,0,0,0.0,0.0,0,18718,17,1383910,C,131180,0.0,1964
Elk Grove,0.0,0,0,0.0,0.0,0,53147,16,3431377,C,306737,0.0,1962
Elk Grove,0.0,0,0,0.0,0.0,0,44096,22,2847009,C,254500,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,11900,16,879823,C,83398,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,56198,16,3628361,C,324346,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,9938,16,759608,C,69647,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,14996,17,1108725,C,105095,0.0,1987
Elk Grove,0.0,0,0,0.0,0.0,0,17224,27,1273451,C,120710,0.0,1986
Elk Grove,0.0,0,0,0.0,0.0,0,13260,25,980374,C,92929,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,4995,17,381791,C,35006,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,43720,16,3634265,C,252329,0.0,2003
Elk Grove,0.0,0,0,0.0,0.0,0,15000,14,1109020,C,105123,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,22500,16,1555750,C,148410,0.0,1964
Elk Grove,0.0,0,0,0.0,0.0,0,39360,16,2721525,C,259618,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,12223,16,903704,C,85661,0.0,1964
Elk Grove,0.0,0,0,0.0,0.0,0,11310,18,836201,C,79263,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,43612,16,2815760,C,251706,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,5144,16,393180,C,36050,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,27200,19,1880728,C,179411,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,27510,19,1902163,C,181455,0.0,1969
Elk Grove,0.0,0,0,0.0,0.0,0,17550,17,1297554,C,122994,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,5000,15,382173,C,35041,0.0,1969
Elk Grove,0.0,0,0,0.0,0.0,0,5000,14,382173,C,35041,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,5000,16,382173,C,35041,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,4950,16,378351,C,34690,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,5000,15,382173,C,35041,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,7900,14,603834,C,55365,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,8400,25,642051,C,58869,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,27532,20,1903684,C,181601,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,48496,19,3131090,C,279894,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,12000,15,887216,C,84099,0.0,1965
Elk Grove,0.0,0,0,0.0,0.0,0,14875,17,1099778,C,104247,0.0,1964
Elk Grove,0.0,0,0,0.0,0.0,0,37294,16,2578672,C,245991,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,21973,15,1519310,C,144933,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,21542,14,1489509,C,142091,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,10642,15,835331,C,74581,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,9938,16,759608,C,69647,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,8109,16,619809,C,56829,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,15002,20,1109168,C,105137,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,10910,14,806627,C,76460,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,17258,18,1275965,C,120948,0.0,1994
Elk Grove,0.0,0,0,0.0,0.0,0,5556,14,424671,C,38937,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,5556,15,424671,C,38937,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,6008,15,459219,C,42105,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,5556,15,424671,C,38937,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,5556,15,424671,C,38937,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,5556,15,424671,C,38937,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,5556,14,424671,C,38937,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,9230,16,705492,C,64686,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,9528,18,728270,C,66774,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,9528,18,728270,C,66774,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,21016,15,1453139,C,138621,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,9938,16,759608,C,69647,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,17500,19,1293857,C,122644,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,6000,16,458608,C,42049,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,18915,16,1398475,C,132561,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,7025,16,536953,C,49232,0.0,1980
Elk Grove,0.0,0,0,0.0,0.0,0,11828,17,874499,C,82893,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,11828,17,874499,C,82893,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,11828,17,874499,C,82893,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,11828,17,874499,C,82893,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,8400,17,910036,C,61812,0.0,2012
Elk Grove,0.0,0,0,0.0,0.0,0,5844,14,446684,C,40956,0.0,1979
